node,parameter,value,run_id,callback_count,latency_mean_us,latency_min_us,latency_max_us,latency_std_us,latency_p50_us,latency_p95_us,latency_p99_us,instructions,cycles,ipc,l1_dcache_load_misses,l1_dcache_loads,l1_miss_rate,llc_load_misses,llc_loads,llc_miss_rate,cache_references,cache_misses,cache_miss_rate,bus_cycles
ndt_scan_matcher,resolution,1.0,1,6227,4.95,0.35,265.78,9.19,4.29,6.10,28.84,5200142953,8218274197,0.633,102570386,1326999656,0.077295,12073236,37447130,0.322408,390620132,88264521,0.225960,56796418
ndt_scan_matcher,resolution,2.0,1,6229,5.10,0.57,474.15,13.10,4.33,6.04,23.46,4978413651,8034994668,0.620,99609331,1288811018,0.077288,12105125,35467554,0.341301,363072373,88935481,0.244952,55490035
ndt_scan_matcher,resolution,4.0,1,6229,5.31,0.63,1960.14,27.20,4.17,6.01,33.04,4973016290,8033573079,0.619,100704559,1308492816,0.076962,12042350,35684503,0.337467,364720032,90227531,0.247388,55498458
ndt_scan_matcher,max_iterations,10,1,6227,5.12,0.58,439.63,13.20,4.15,5.97,31.89,5073966065,8112334808,0.625,99921601,1307126207,0.076444,12203556,35602180,0.342776,367646284,89944407,0.244649,56176518
ndt_scan_matcher,max_iterations,30,1,6230,5.16,0.56,742.00,16.30,4.18,5.87,31.68,5038043991,7976956975,0.632,99005578,1275606897,0.077614,12075844,35517715,0.339995,360464360,86100887,0.238861,55103153
ndt_scan_matcher,max_iterations,60,1,6232,4.85,0.62,720.18,12.38,4.15,5.79,29.38,4942444029,7994044678,0.618,97765996,1264033076,0.077344,12126854,35359949,0.342955,357625161,85996526,0.240466,55462114
ndt_scan_matcher,num_threads,1,1,6230,5.02,0.56,988.09,15.99,4.21,5.77,29.57,4948954680,8188864219,0.604,100049325,1299940238,0.076965,12584566,36677723,0.343112,373017113,92176468,0.247111,56584635
ndt_scan_matcher,num_threads,4,1,6230,5.22,0.58,873.63,17.50,4.32,5.90,26.63,5007165700,8201143444,0.611,101423878,1297675376,0.078158,12099323,36570835,0.330846,372356553,90291025,0.242485,56922043
ndt_scan_matcher,num_threads,8,1,6226,4.82,0.59,312.52,9.28,4.14,5.74,30.67,5053912910,7932364583,0.637,99212171,1278534480,0.077598,11921233,35279006,0.337913,364438831,88179071,0.241958,54856844
ndt_scan_matcher,step_size,0.05,1,6227,5.29,0.58,675.31,14.85,4.20,5.92,36.12,5084577798,8164662367,0.623,101120931,1301287058,0.077708,12375563,35972102,0.344032,370620386,90785954,0.244957,56636907
ndt_scan_matcher,step_size,0.1,1,6228,5.28,0.58,933.82,15.80,4.24,6.00,34.36,5022498721,8035296177,0.625,98632670,1280550703,0.077024,12396752,35782475,0.346448,359510415,89931460,0.250150,55502370
ndt_scan_matcher,step_size,0.2,1,6227,5.08,0.57,476.40,11.18,4.29,6.01,30.68,5035789379,7961821106,0.632,98430237,1263726857,0.077889,11937737,35477193,0.336490,360379003,85297548,0.236688,55206816
ndt_scan_matcher,trans_epsilon,0.001,1,6227,4.85,0.56,579.50,12.60,4.05,5.69,29.37,4981307763,8006713382,0.622,98311197,1274988854,0.077107,11771440,35456869,0.331993,362286097,87924899,0.242695,55487872
ndt_scan_matcher,trans_epsilon,0.01,1,6229,5.05,0.41,675.48,14.86,4.20,5.90,30.26,5075555217,7992692617,0.635,99536236,1275473840,0.078039,12036665,35421462,0.339813,365034346,88740037,0.243101,55344078
ndt_scan_matcher,trans_epsilon,0.1,1,6234,5.27,0.56,685.60,13.43,4.39,6.14,34.98,5196078541,8234094855,0.631,103040412,1299625466,0.079285,12269045,36682395,0.334467,372569705,87809000,0.235685,57154391
ndt_scan_matcher,particles_num,50,1,6228,4.98,0.55,568.22,13.07,4.17,5.74,25.40,5088419184,7936834643,0.641,98495706,1294396681,0.076094,11755287,34671713,0.339045,359530252,87231092,0.242625,54920356
ndt_scan_matcher,particles_num,200,1,6226,5.09,0.57,626.03,12.92,4.23,5.98,29.90,5123255748,8024744598,0.638,100639312,1264428871,0.079593,12239179,35926186,0.340676,367371228,87240991,0.237474,55745508
ndt_scan_matcher,particles_num,500,1,6227,5.18,0.67,565.92,15.83,4.14,5.77,30.58,4930384323,8048308070,0.613,99490079,1280010211,0.077726,12109819,34725928,0.348726,359960963,87190183,0.242221,55684809
ndt_scan_matcher,map_radius,75.0,1,6225,4.72,0.62,240.24,7.48,4.18,5.74,23.37,4923143678,8044169489,0.612,98563318,1266789965,0.077806,12084779,35053913,0.344748,365628209,88944763,0.243266,55724055
ndt_scan_matcher,map_radius,150.0,1,6227,4.95,0.42,302.03,10.16,4.24,5.99,31.81,5305917624,8515768078,0.623,108097175,1353284945,0.079878,12109356,39465218,0.306836,405422102,91467551,0.225611,58978273
ndt_scan_matcher,map_radius,300.0,1,6233,5.22,0.56,1477.32,22.39,4.15,5.79,29.89,5175491702,8070158410,0.641,101076940,1306351466,0.077373,12010057,37202855,0.322826,374776275,90287234,0.240910,55724775
ndt_scan_matcher,lidar_radius,50.0,1,6225,4.98,0.58,507.65,12.18,4.22,5.86,28.63,5006137411,7996341763,0.626,100018687,1295285276,0.077217,11999645,35447776,0.338516,365442727,89901147,0.246006,55197352
ndt_scan_matcher,lidar_radius,100.0,1,6228,4.70,0.56,582.00,10.89,4.08,5.58,28.99,4904958219,8016469598,0.612,99220530,1297653609,0.076461,11964765,36147417,0.330999,364099561,91546069,0.251431,55447415
ndt_scan_matcher,lidar_radius,200.0,1,6225,4.89,0.60,415.75,11.59,4.15,5.74,30.25,5029767813,8033439711,0.626,99724178,1305425032,0.076392,12064397,35198384,0.342754,362836901,90493459,0.249405,55520652
ekf_localizer,predict_frequency,20.0,1,5551,9.96,0.59,839.04,25.26,5.76,16.00,59.20,5644042774,9079649111,0.622,115962326,1477312512,0.078495,13731362,41055481,0.334459,429188604,99254116,0.231260,62635683
ekf_localizer,predict_frequency,50.0,1,5540,15.13,0.64,634.09,25.44,12.57,17.78,96.97,6283258060,12012027518,0.523,143756024,1662317773,0.086479,20019835,61613175,0.324928,694928337,162498831,0.233835,82580253
ekf_localizer,predict_frequency,100.0,1,5546,15.43,0.60,975.18,30.05,12.24,19.43,119.38,8907384789,16054601102,0.555,233842061,2428477504,0.096292,21143158,96742839,0.218550,1116497231,184228738,0.165006,109474231
ekf_localizer,tf_rate,20.0,1,5539,15.77,0.60,595.54,27.99,12.95,18.88,113.51,7544691011,13415936285,0.562,180963172,2010533053,0.090008,20329151,72729165,0.279519,816897270,164618064,0.201516,91727952
ekf_localizer,tf_rate,50.0,1,0,0,0,0,0,0,0,0,5736785091,11111013333,0.516,122473190,1481610175,0.082662,21091820,50613681,0.416722,552689904,173056213,0.313116,76433236
ekf_localizer,tf_rate,100.0,1,5542,13.26,0.47,451.47,17.56,11.26,16.82,73.27,5777593370,10890539702,0.531,130253865,1539244772,0.084622,18077661,54697930,0.330500,612238280,148390427,0.242374,75146390
ekf_localizer,extend_state_step,20,1,5548,14.51,0.45,1080.06,25.48,12.68,17.08,71.40,7249318627,13092707268,0.554,174640372,1931819737,0.090402,20810806,69865067,0.297871,763894972,167207081,0.218888,89504819
ekf_localizer,extend_state_step,50,1,5544,14.31,0.52,677.45,24.57,11.65,17.41,100.99,8386602150,14582549017,0.575,209832479,2301650990,0.091166,18463211,83202687,0.221906,954146708,165272695,0.173215,99293444
ekf_localizer,extend_state_step,100,1,5543,17.43,0.64,1207.21,48.19,12.92,17.17,163.86,7355112782,12953363950,0.568,175722469,1960599126,0.089627,20464129,67285441,0.304139,748300393,166244867,0.222163,88516816
ekf_localizer,pose_smoothing_steps,1,1,5541,14.08,0.59,453.69,18.54,12.54,16.89,77.59,5863082937,11539274660,0.508,129827976,1551235046,0.083693,21511357,53932705,0.398856,605287665,185235266,0.306028,79237056
ekf_localizer,pose_smoothing_steps,5,1,5543,14.80,0.65,1855.91,33.28,12.64,17.00,85.73,6529865481,11692195156,0.558,147155984,1764908954,0.083379,20635984,55202899,0.373821,609265641,154461355,0.253521,80161624
ekf_localizer,pose_smoothing_steps,15,1,5549,15.14,0.65,862.93,26.93,13.27,17.90,51.08,5629048731,11102925655,0.507,123815434,1498684481,0.082616,21676684,50620798,0.428217,556175574,172305610,0.309804,76607020
ekf_localizer,twist_smoothing_steps,1,1,5544,14.63,0.45,611.17,21.17,12.62,18.09,90.95,7133113288,12713619725,0.561,168052532,1909661667,0.088001,19994405,66044916,0.302740,727575819,165032566,0.226825,87168956
ekf_localizer,twist_smoothing_steps,2,1,5547,13.24,0.55,660.04,20.74,10.99,17.13,81.78,6407629304,11830495430,0.542,152574955,1729520069,0.088218,15929374,67216308,0.236987,779325409,132330629,0.169802,81302297
ekf_localizer,twist_smoothing_steps,8,1,5544,14.87,0.53,549.05,22.33,12.51,17.69,103.40,6082371182,11824147774,0.514,140084011,1628342183,0.086029,19707760,60528345,0.325596,686444951,165967530,0.241778,81117202
euclidean_cluster,tolerance,0.3,1,5683,4.59,0.52,577.69,10.65,3.97,4.93,16.63,4534307314,6101518786,0.743,85075361,1120388033,0.075934,7974652,26314573,0.303051,264243678,56444485,0.213608,41839994
euclidean_cluster,tolerance,0.7,1,5683,4.17,0.37,327.95,7.37,3.75,4.69,15.76,4417411801,5993470753,0.737,84717824,1112320179,0.076163,8227356,25712603,0.319974,258890095,55875449,0.215827,41331043
euclidean_cluster,tolerance,1.5,1,5683,4.33,0.40,241.01,7.63,3.82,4.76,15.70,4820006803,6079494149,0.793,88868446,1154391773,0.076983,8272182,25463506,0.324864,260194799,56260783,0.216226,41898121
euclidean_cluster,max_cluster_size,200,1,5684,4.17,0.27,161.00,4.62,3.88,4.83,15.53,4409953410,6133042959,0.719,86544445,1141206937,0.075836,7928320,25182127,0.314839,259387254,58061465,0.223841,42181914
euclidean_cluster,max_cluster_size,1000,1,5684,4.22,0.39,339.15,6.33,3.88,4.77,9.48,4585955150,5963702517,0.769,87857464,1158313715,0.075849,7796486,25460367,0.306220,259451618,57418543,0.221307,40892575
euclidean_cluster,max_cluster_size,5000,1,5683,4.23,0.39,158.37,5.08,3.89,4.82,15.92,4655255730,6058262946,0.768,88739656,1155873883,0.076773,8182934,25730133,0.318029,262682768,58706175,0.223487,41566427
euclidean_cluster,min_cluster_size,3,1,5689,4.39,0.34,273.11,6.88,3.86,4.77,16.67,4443706575,6028233566,0.737,87838914,1127292701,0.077920,7764411,25294535,0.306960,258721480,59282608,0.229137,41417378
euclidean_cluster,min_cluster_size,10,1,5684,4.21,0.70,710.84,11.67,3.67,4.54,15.79,4450603188,6053898403,0.735,85380613,1130165984,0.075547,8106088,26125081,0.310280,260006454,58736800,0.225905,41444957
euclidean_cluster,min_cluster_size,30,1,5682,4.39,0.60,454.43,8.74,3.82,4.77,21.14,4265250919,5959267322,0.716,85026306,1101859295,0.077166,7734395,24894580,0.310686,251753266,56238590,0.223388,40984545
occupancy_grid_map_node,map_resolution,0.25,1,6265,3.95,0.35,562.62,11.31,3.54,4.73,15.86,4968332882,7879675286,0.631,93599557,1239046000,0.075542,11878474,33452988,0.355080,350812914,89337395,0.254658,54509043
occupancy_grid_map_node,map_resolution,0.5,1,6263,3.61,0.36,177.80,5.95,3.48,4.57,5.57,4961298340,7838470721,0.633,94421334,1246575127,0.075745,11515770,33205375,0.346804,355540030,89726365,0.252366,53902477
occupancy_grid_map_node,map_resolution,1.0,1,6266,3.56,0.38,146.78,3.54,3.54,4.68,5.97,4976063029,7881737153,0.631,94952172,1254670654,0.075679,11671380,33742611,0.345894,356602307,90932179,0.254996,54483010
occupancy_grid_map_node,map_length,75.0,1,6265,3.56,0.33,329.47,6.07,3.47,4.60,5.70,5080065652,7892422944,0.644,94336094,1272320067,0.074145,11917159,33549583,0.355210,357861993,93201835,0.260441,54449920
occupancy_grid_map_node,map_length,150.0,1,6265,3.86,0.37,619.97,12.50,3.52,4.62,6.03,5012824314,7929543361,0.632,93311353,1254865287,0.074360,11870940,33842165,0.350774,350940972,89676528,0.255532,54941555
occupancy_grid_map_node,map_length,300.0,1,6269,3.78,0.37,254.82,6.14,3.61,4.74,5.71,4818367799,7899812735,0.610,92944635,1256502004,0.073971,11465851,33094661,0.346456,353728268,91238741,0.257935,54734276
multi_object_tracker,publish_rate,5.0,1,5513,14.55,0.84,497.40,22.14,11.74,17.96,109.27,6930737462,12261338168,0.565,169695311,1820536572,0.093212,15607381,68590620,0.227544,810743444,133264086,0.164373,83706076
multi_object_tracker,publish_rate,10.0,1,5511,14.46,0.83,436.06,19.76,12.02,18.13,101.96,6281521109,12697779457,0.495,156522119,1686508613,0.092808,17793144,71461673,0.248989,888361283,165883733,0.186730,86848263
multi_object_tracker,publish_rate,20.0,1,5507,14.85,0.87,504.42,21.55,12.32,18.80,100.06,6483188128,13494227341,0.480,159010172,1723019402,0.092286,20824831,73094702,0.284902,922292041,215451573,0.233605,91818491
multi_object_tracker,tracker_lifetime,0.5,1,5508,14.25,0.56,399.27,22.42,10.99,18.17,128.12,9794842786,17813113045,0.550,275851570,2666130881,0.103465,15343810,119365558,0.128545,1460905912,161367097,0.110457,120750297
multi_object_tracker,tracker_lifetime,1.0,1,5503,14.02,0.91,677.92,20.65,11.73,18.26,81.48,8528556053,15946970340,0.535,234305539,2303509284,0.101717,17583325,101320162,0.173542,1217784077,168997327,0.138774,108294909
multi_object_tracker,tracker_lifetime,3.0,1,5506,15.36,0.83,589.97,23.93,13.21,18.40,97.68,5643231057,11805277607,0.478,129124606,1484791191,0.086965,21325894,55205134,0.386303,658683799,207194868,0.314559,80891766
multi_object_tracker,enable_delay_compensation,False,1,5515,6.66,0.61,372.51,13.90,4.39,14.56,24.32,5403408838,8454267781,0.639,110300691,1406815486,0.078405,11388450,38199629,0.298130,403746659,85781589,0.212464,58376829
multi_object_tracker,enable_delay_compensation,True,1,5508,15.25,0.56,515.02,25.00,12.12,18.52,130.12,6387004104,12864099114,0.496,165233248,1744239627,0.094731,17107624,75879229,0.225459,942800176,160506685,0.170245,87672372
map_based_prediction,prediction_time_horizon_vehicle,5.0,1,5946,4.31,0.90,501.32,13.14,3.71,4.72,6.60,4582466233,7372192441,0.622,89743573,1210777491,0.074121,10729586,32207686,0.333137,331185200,79840908,0.241076,50911143
map_based_prediction,prediction_time_horizon_vehicle,15.0,1,5946,4.08,0.53,719.63,10.34,3.83,4.89,7.02,4726182380,7454045130,0.634,89666224,1187836160,0.075487,11420927,32205298,0.354629,333461195,78731767,0.236105,51542071
map_based_prediction,prediction_time_horizon_vehicle,30.0,1,5941,4.05,0.53,402.46,9.66,3.75,4.85,9.35,4662346347,7359214436,0.634,89012919,1199739059,0.074194,11171699,32625389,0.342423,329625447,79321777,0.240642,50723775
map_based_prediction,prediction_sampling_delta_time,0.25,1,5950,3.99,0.59,357.31,9.39,3.61,4.66,6.66,4645276394,7414029220,0.627,89587441,1201591795,0.074557,10790761,32407278,0.332973,336995629,79286945,0.235276,51113610
map_based_prediction,prediction_sampling_delta_time,0.5,1,5944,4.05,0.49,308.56,9.65,3.69,4.73,6.01,4464379547,7261597809,0.615,88645603,1208230964,0.073368,10618716,31662205,0.335375,329558285,79659506,0.241716,50193346
map_based_prediction,prediction_sampling_delta_time,1.0,1,5950,4.36,0.51,297.26,7.31,4.11,5.28,12.44,4573961296,7315136098,0.625,88626094,1220486676,0.072615,10973761,31182780,0.351917,327909962,80406523,0.245209,50562264
map_based_prediction,reference_path_resolution,0.25,1,5943,4.13,0.38,398.42,10.10,3.77,4.84,6.35,4729425877,7333614944,0.645,90346504,1207692913,0.074809,10864272,31917903,0.340382,328025303,79992611,0.243861,50812171
map_based_prediction,reference_path_resolution,0.5,1,5947,3.81,0.68,209.70,4.97,3.66,4.72,8.32,4668426656,7429210503,0.628,90274393,1181046854,0.076436,11063093,32235521,0.343196,333299652,77236771,0.231734,51356905
map_based_prediction,reference_path_resolution,1.0,1,5944,3.93,0.57,162.05,5.76,3.69,4.85,5.94,4662094698,7302883171,0.638,88736206,1163035315,0.076297,10789241,31834599,0.338916,329631600,76785373,0.232943,50555405
map_based_prediction,history_time_length,0.5,1,5944,4.12,0.49,732.29,12.28,3.72,4.78,6.69,4771715881,7409912310,0.644,90188438,1196711535,0.075364,11100918,32305788,0.343620,329680352,79806168,0.242071,51250079
map_based_prediction,history_time_length,1.0,1,5945,3.86,0.59,313.56,6.49,3.64,4.72,5.80,4606616963,7363981287,0.626,89505467,1191467913,0.075122,10839215,32085217,0.337826,329787586,78284756,0.237379,50933206
map_based_prediction,history_time_length,3.0,1,5945,4.20,0.83,601.50,12.72,3.80,4.93,15.06,4702999698,7360071682,0.639,88386391,1201720604,0.073550,10969012,32053937,0.342205,327615507,79644336,0.243103,50820571
map_based_prediction,object_buffer_time_length,1.0,1,5947,4.20,0.64,452.18,11.20,3.86,4.97,6.04,4584520015,7376713961,0.621,87713109,1177462110,0.074493,10907236,31544482,0.345773,327199989,79086779,0.241708,50916088
map_based_prediction,object_buffer_time_length,2.0,1,5941,4.07,0.61,366.31,8.01,3.78,4.84,6.53,4697146064,7369522450,0.637,88334535,1198860153,0.073682,10933845,31592072,0.346095,331400870,78863054,0.237969,50984956
map_based_prediction,object_buffer_time_length,5.0,1,5941,3.98,0.66,602.34,10.08,3.71,4.75,5.55,4585219517,7350508190,0.624,88548279,1194558160,0.074126,11000706,31723261,0.346771,329617291,79729022,0.241884,50839502
behavior_path_planner,planning_hz,5.0,1,6672,12.37,0.50,504.89,18.45,11.03,22.24,46.50,27253124751,38617521309,0.706,747976525,8069623106,0.092690,21812541,320324558,0.068095,2437469309,214646681,0.088061,262705314
behavior_path_planner,planning_hz,10.0,1,6677,14.17,0.54,416.91,20.42,12.05,23.18,85.17,27167985725,34201350265,0.794,740894300,8030853547,0.092256,23254751,299332423,0.077689,2303706775,210177507,0.091234,232113823
behavior_path_planner,planning_hz,20.0,1,6685,15.96,0.51,773.10,28.15,13.97,25.07,107.34,16262900437,22409869841,0.726,422470404,4696672061,0.089951,27973224,165061157,0.169472,1273165795,209359223,0.164440,152614567
behavior_path_planner,forward_path_length,150.0,1,6669,15.72,0.52,563.92,21.30,14.82,22.21,101.40,13032482676,19714572644,0.661,336640338,3722352118,0.090438,28305954,136820160,0.206884,1088375882,211630035,0.194446,134983365
behavior_path_planner,forward_path_length,300.0,1,6672,12.49,0.56,570.35,19.49,8.34,23.07,67.84,20003812550,24836769645,0.805,527258134,5817500697,0.090633,19399409,209224618,0.092720,1611926079,158717323,0.098464,167990554
behavior_path_planner,forward_path_length,500.0,1,6676,16.20,0.52,583.63,25.22,14.39,26.97,114.89,16009191310,21937421586,0.730,415754631,4716382125,0.088151,26454059,159613452,0.165738,1220816373,200587836,0.164306,149824380
behavior_path_planner,input_path_interval,1.0,1,6673,13.61,0.49,317.52,14.29,13.13,21.79,46.32,21649655831,29307096848,0.739,594910090,6387984618,0.093130,29922156,260582221,0.114828,2016471560,272341080,0.135058,197483450
behavior_path_planner,input_path_interval,2.0,1,6667,14.12,0.57,697.33,22.25,12.91,22.35,83.47,24070189995,29905391172,0.805,641875098,7062249968,0.090888,24067100,249324497,0.096529,1939494236,200907052,0.103587,201948263
behavior_path_planner,input_path_interval,5.0,1,6675,13.81,0.51,492.70,17.54,12.72,23.22,50.83,24702497011,29958348484,0.825,662847904,7284171993,0.090998,23023254,260758918,0.088293,1995835489,192867504,0.096635,201882548
behavior_path_planner,output_path_interval,1.0,1,6671,15.79,0.51,1135.28,25.93,14.83,23.67,68.97,23918377947,30582096582,0.782,641229633,6998448970,0.091625,31545884,244048233,0.129261,1844668296,246350511,0.133547,207391768
behavior_path_planner,output_path_interval,2.0,1,6673,16.74,0.58,886.20,26.82,15.04,23.98,110.02,14027828467,21063928895,0.666,357589217,4004900771,0.089288,31711447,140064601,0.226406,1120132907,244504732,0.218282,144271033
behavior_path_planner,output_path_interval,5.0,1,6666,15.63,0.52,467.12,22.00,14.48,22.77,102.92,12141876397,21273964833,0.571,317489244,3451939294,0.091974,27457131,131506649,0.208789,1067803123,199260560,0.186608,147334277
autonomous_emergency_braking,voxel_grid_x,0.05,1,5989,6.75,0.41,369.02,13.43,4.65,14.02,22.46,7022453365,11187467942,0.628,180738566,1833487804,0.098576,12089576,63617123,0.190037,703915238,97716647,0.138819,76811718
autonomous_emergency_braking,voxel_grid_x,0.1,1,5985,7.09,0.84,401.23,13.75,4.49,15.55,26.90,5518241668,8620677526,0.640,129861847,1413922636,0.091845,12963709,41046580,0.315829,410871012,98080348,0.238713,59690252
autonomous_emergency_braking,voxel_grid_x,0.2,1,5993,7.03,0.41,343.58,11.68,4.77,14.81,29.03,5751919478,9073863604,0.634,140054331,1492804709,0.093820,12381743,44445777,0.278581,461346966,96724611,0.209657,62522398
autonomous_emergency_braking,voxel_grid_y,0.05,1,5984,6.92,0.26,598.78,13.08,4.61,15.30,25.44,5401012714,8667607716,0.623,128901126,1425377457,0.090433,12869119,41373688,0.311046,412821001,98565648,0.238761,59884757
autonomous_emergency_braking,voxel_grid_y,0.1,1,5982,6.95,0.38,296.28,10.22,4.82,15.40,23.66,5450229686,8588111972,0.635,129585623,1404025534,0.092296,12971959,39704844,0.326710,406911329,96772103,0.237821,59222106
autonomous_emergency_braking,voxel_grid_y,0.2,1,5987,6.82,0.76,559.26,12.29,4.83,14.52,20.33,5602131056,8574561199,0.653,130217512,1428355351,0.091166,12602432,41226670,0.305686,409155133,94828675,0.231767,59136567
autonomous_emergency_braking,cluster_tolerance,0.075,1,5989,7.02,0.45,1131.42,18.62,4.69,15.10,20.74,5483647909,8638231208,0.635,130251416,1421097888,0.091655,12520808,41966138,0.298355,430284591,98182105,0.228179,59967070
autonomous_emergency_braking,cluster_tolerance,0.15,1,5986,7.12,0.70,610.68,16.41,4.65,14.73,21.48,5355459530,8603126260,0.623,128685659,1423799621,0.090382,12830796,40507513,0.316751,406366109,98663738,0.242795,59427722
autonomous_emergency_braking,cluster_tolerance,0.3,1,5983,7.54,0.55,494.84,16.03,4.72,15.81,29.27,5373080604,8781634501,0.612,131880470,1445677245,0.091224,13299594,40965051,0.324657,420920694,101604617,0.241387,60690976
autonomous_emergency_braking,aeb_hz,5.0,1,5984,6.36,0.45,520.88,15.92,4.60,13.44,25.66,5732579138,8792839285,0.652,138158027,1495947614,0.092355,11581746,44208342,0.261981,444851251,87633968,0.196996,60737046
autonomous_emergency_braking,aeb_hz,10.0,1,5985,7.04,0.35,515.46,14.01,4.66,15.29,19.99,5344776108,8642205725,0.618,129064193,1439193394,0.089678,13148786,40870461,0.321719,419651238,104426554,0.248841,59604791
autonomous_emergency_braking,aeb_hz,20.0,1,5985,8.75,0.53,795.43,16.67,5.75,15.19,26.05,5728828081,9701638017,0.591,143424824,1546378087,0.092749,15117544,47020885,0.321507,490213865,119872253,0.244531,66753159
autonomous_emergency_braking,mpc_prediction_time_horizon,2.0,1,5986,7.20,0.52,1416.93,21.73,4.59,15.15,24.10,5342445745,8552699131,0.625,128709389,1432819127,0.089829,12741377,40609639,0.313753,411763040,100060345,0.243005,58959790
autonomous_emergency_braking,mpc_prediction_time_horizon,4.5,1,5988,7.29,0.50,589.45,19.06,4.69,14.67,30.80,6222858619,9743496413,0.639,157249442,1634721209,0.096193,12508257,51856034,0.241211,522444288,96424387,0.184564,67431995
autonomous_emergency_braking,mpc_prediction_time_horizon,8.0,1,5977,7.02,0.73,431.08,11.53,4.81,15.08,24.30,5442818117,9038495337,0.602,135905169,1433800406,0.094787,13771034,41548076,0.331448,427914811,107385825,0.250951,62845954
velocity_smoother,resample_ds,0.05,1,5576,4.36,0.53,233.29,7.25,3.89,4.83,16.00,4491586672,6130365434,0.733,73377142,1087350945,0.067482,8316972,25720319,0.323362,261660965,59410592,0.227052,42490041
velocity_smoother,resample_ds,0.1,1,5577,4.11,0.49,272.31,6.46,3.71,4.61,15.76,4385603250,6087895165,0.720,73943161,1079136269,0.068521,8018834,25554418,0.313794,260607982,56289746,0.215994,42060297
velocity_smoother,resample_ds,0.2,1,5575,4.33,1.32,378.50,6.22,3.97,4.93,16.40,4374311263,6061871173,0.722,74474900,1080005921,0.068958,8218608,25710034,0.319665,258525263,56120291,0.217079,41772459
velocity_smoother,max_trajectory_length,100.0,1,5574,4.39,0.84,288.92,8.45,3.82,4.84,16.10,4274309370,6018119201,0.710,74646818,1084514493,0.068830,8012890,25352972,0.316053,262755420,57121601,0.217395,41533362
velocity_smoother,max_trajectory_length,200.0,1,5574,3.92,1.02,217.82,4.56,3.66,4.66,7.16,4205733620,6064182268,0.694,74837847,1090512367,0.068626,7602516,25557002,0.297473,262884448,58061312,0.220862,42043428
velocity_smoother,max_trajectory_length,400.0,1,5574,4.14,0.50,194.71,4.59,3.83,4.82,16.06,4299106182,6187672668,0.695,74204905,1141275517,0.065019,7690811,25698045,0.299276,269953031,61201005,0.226710,42418978
velocity_smoother,dense_resample_dt,0.1,1,5575,4.42,0.88,307.80,7.78,3.86,4.87,19.33,4226465676,6033580876,0.700,72748795,1088678530,0.066823,7848486,25631403,0.306206,264479879,56406280,0.213272,41544496
velocity_smoother,dense_resample_dt,0.2,1,5574,4.35,0.51,212.82,4.96,4.00,4.99,16.29,4304293453,6027982246,0.714,74087160,1093233663,0.067769,8272543,25317249,0.326755,264637344,57437880,0.217044,41629121
velocity_smoother,dense_resample_dt,0.5,1,5580,4.17,0.60,185.14,5.14,3.81,4.78,15.72,4329200186,6077932000,0.712,75123952,1136415584,0.066106,7780239,25866931,0.300779,266565409,60239597,0.225984,41688461
velocity_smoother,extract_ahead_dist,100.0,1,5576,4.24,0.48,191.94,6.31,3.81,4.76,16.10,4134699961,6004825101,0.689,72585172,1087983495,0.066715,7908376,25367320,0.311754,259424984,58160397,0.224190,41242190
velocity_smoother,extract_ahead_dist,200.0,1,5577,4.38,0.49,270.51,7.34,3.88,4.81,16.08,4490670616,6110513824,0.735,76048001,1136444138,0.066918,8145866,26305650,0.309662,267507564,58926263,0.220279,42111003
velocity_smoother,extract_ahead_dist,400.0,1,5571,4.39,0.82,281.54,8.13,3.76,4.83,16.81,4155439992,5920559152,0.702,72226415,1078582504,0.066964,7510109,25072771,0.299532,254843648,56730630,0.222610,40825898
pointcloud_concatenate_data,timeout_sec,0.05,1,242,11.52,0.25,1290.91,95.91,1.84,3.05,241.54,5231334295,6802581362,0.769,106542388,1331121816,0.080040,8486474,31674510,0.267928,292215350,62885372,0.215202,46548518
pointcloud_concatenate_data,timeout_sec,0.2,1,246,1.85,0.44,20.92,2.15,1.69,2.90,11.88,5150549510,6726654314,0.766,107538740,1339714006,0.080270,8180625,30583719,0.267483,284004180,63039757,0.221968,46188897
pointcloud_concatenate_data,timeout_sec,0.5,1,247,1.84,0.42,11.94,1.00,1.82,2.75,4.23,5497676912,6791540803,0.809,108406163,1336051678,0.081139,8714278,31247748,0.278877,292369010,62538208,0.213902,46823733
pointcloud_concatenate_data,maximum_queue_size,2,1,246,1.76,0.42,23.04,1.67,1.61,2.65,4.60,5306594612,6870218036,0.772,110145700,1362174267,0.080860,8516610,30859506,0.275980,285935395,64902029,0.226981,47074367
