rank,node_name,latency_ms,pct_of_total,n_callbacks
1,/perception/object_recognition/prediction/map_based_prediction,0.6396,24.802,18280
2,/system/hazard_status_converter,0.4688,18.181,21562
3,/adapi/node/diagnostics,0.2937,11.389,20024
4,/system/converter,0.2789,10.817,21996
5,/system/pipeline_latency_monitor,0.0330,1.281,19556
6,/adapi/node/perception,0.0252,0.976,17803
7,/transform_listener_impl_79d8bc62a740,0.0111,0.429,11
8,/planning/scenario_planning/parking/transform_listener_impl_750eec585ef8,0.0110,0.427,16
9,/control/transform_listener_impl_7cc36c040568,0.0108,0.420,14
10,/default_adapi/helpers/transform_listener_impl_6284289764f8,0.0106,0.409,19
11,/planning/transform_listener_impl_76c4581027b0,0.0105,0.407,12
12,/planning/scenario_planning/lane_driving/behavior_planning/transform_listener_impl_7dd100035708,0.0105,0.407,13
13,/transform_listener_impl_79d8ac064060,0.0104,0.404,12
14,/perception/traffic_light_recognition/camera7/classification/transform_listener_impl_55f38a889098,0.0103,0.401,20
15,/transform_listener_impl_79d8bc067070,0.0101,0.393,20
16,/planning/mission_planning/transform_listener_impl_70d384023a90,0.0101,0.393,16
17,/localization/pose_twist_fusion_filter/transform_listener_impl_5616c7554d38,0.0101,0.391,20
18,/planning/scenario_planning/parking/transform_listener_impl_750f00071b10,0.0100,0.389,12
19,/perception/object_recognition/detection/transform_listener_impl_5b9393cd39c0,0.0099,0.386,20
20,/control/transform_listener_impl_7cc3700182b8,0.0099,0.385,14
21,/perception/traffic_light_recognition/camera6/detection/transform_listener_impl_646dfb6c6fc8,0.0098,0.382,19
22,/sensing/gnss/transform_listener_impl_64099a42ad18,0.0098,0.378,20
23,/planning/scenario_planning/lane_driving/motion_planning/transform_listener_impl_74189407dec8,0.0096,0.374,16
24,/transform_listener_impl_752a5c00f970,0.0096,0.373,18
25,/localization/util/transform_listener_impl_594a40896778,0.0096,0.373,20
26,/localization/pose_estimator/transform_listener_impl_5b3fe4c42958,0.0095,0.367,20
27,/perception/object_recognition/tracking/transform_listener_impl_59d9fdcf3b00,0.0093,0.362,20
28,/sensing/imu/transform_listener_impl_5d78d91cb3c0,0.0093,0.361,20
29,/perception/object_recognition/prediction/transform_listener_impl_5e0165326530,0.0092,0.358,20
30,/localization/twist_estimator/transform_listener_impl_7175e4005630,0.0091,0.351,20
31,/perception/object_recognition/detection/detection_by_tracker/transform_listener_impl_5fbadc147d78,0.0090,0.350,20
32,/planning/transform_listener_impl_580f79bea3e0,0.0090,0.350,19
33,/perception/traffic_light_recognition/camera6/classification/transform_listener_impl_64db3181b098,0.0089,0.344,19
34,/sensing/imu/transform_listener_impl_5c4b49660560,0.0088,0.343,20
35,/perception/traffic_light_recognition/camera7/detection/transform_listener_impl_5b17af16afc8,0.0087,0.337,20
36,/transform_listener_impl_79d8c07ff5c8,0.0080,0.309,20
37,/system/aggregator,0.0064,0.249,196628
38,/system/mrm_handler,0.0050,0.193,21786
39,/caret_trace_52161294_421d_47ad_96c8_7ffb9e44de66,0.0044,0.172,104
40,/control/autoware_operation_mode_transition_manager,0.0038,0.148,2062
41,/control/vehicle_cmd_gate,0.0038,0.148,2620
42,/perception/object_recognition/detection/detection_by_tracker/detection_by_tracker_node,0.0038,0.147,17763
43,/system/processing_time_checker,0.0036,0.139,52594
44,/adapi/node/operation_mode,0.0032,0.125,19939
45,/sensing/lidar/left/velodyne_monitor,0.0032,0.123,202
46,/sensing/lidar/top/velodyne_monitor,0.0030,0.117,572
47,/sensing/lidar/right/velodyne_monitor,0.0029,0.114,432
48,/perception_analytics_publisher,0.0029,0.111,31164
49,/system/component_state_monitor/component,0.0028,0.107,31960
50,/adapi/node/localization,0.0027,0.106,7757
51,/sensing/lidar/rear/velodyne_monitor,0.0027,0.106,441
