node,source,function,total_flops,total_int_ops,total_mem_bytes,arithmetic_intensity
multi_object_tracker,bicycle_motion_model,_ZN8autoware20multi_object_tracker20KalmanFilterTemplateILi6ELi2ELi0EdE6updateILi6EEEbRKN5Eigen6Matr,288,0,640,0.45
shape_estimation,utils,_ZN8autoware16shape_estimation15corrector_utils23correctWithReferenceYawERKNS1_22CorrectionBBParamet,222,1,480,0.4625
velocity_smoother,velocity_planning_utils,_ZN8autoware17velocity_smoother34analytical_velocity_planning_utils24updateStopVelocityStatusEddddiR,206,3,368,0.5597826086956522
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal10AssignmentINS_6MatrixIdLi6ELi6ELi1ELi6ELi6EEENS_7ProductINS4_INS2_IdLi6ELi6ELi0E,198,0,456,0.4342105263157895
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal10AssignmentINS_6MatrixIdLi6ELi6ELi0ELi6ELi6EEENS_7ProductINS4_IS3_S3_Li0EEES3_Li1,198,0,332,0.5963855421686747
multi_object_tracker,odometry,_ZN3tf219transformCovarianceERKSt5arrayIdLm36EERKNS_9TransformE,180,0,288,0.625
ndt_scan_matcher,ndt_scan_matcher_core,_ZN3tf219transformCovarianceERKSt5arrayIdLm36EERKNS_9TransformE,180,0,288,0.625
shape_estimation,utils,_ZN8autoware16shape_estimation15corrector_utils35correctWithReferenceYawAndShapeSizeERKNS0_22Referen,170,1,464,0.36637931034482757
ekf_localizer,mahalanobis,_ZN5Eigen8internal11gebp_kernelIddlNS0_16blas_data_mapperIdlLi0ELi0ELi1EEELi4ELi4ELb0ELb0EEclERKS3_P,160,11,64,2.5
ekf_localizer,mahalanobis,_ZN5Eigen8internal11gebp_kernelIddlNS0_16blas_data_mapperIdlLi0ELi0ELi1EEELi4ELi4ELb0ELb0EEclERKS3_P,160,26,304,0.5263157894736842
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal11gebp_kernelIddlNS0_16blas_data_mapperIdlLi0ELi0ELi1EEELi4ELi4ELb0ELb0EEclERKS3_P,160,11,64,2.5
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal11gebp_kernelIddlNS0_16blas_data_mapperIdlLi0ELi0ELi1EEELi4ELi4ELb0ELb0EEclERKS3_P,160,26,304,0.5263157894736842
multi_object_tracker,uncertainty_processor,_ZN5Eigen8internal11gebp_kernelIddlNS0_16blas_data_mapperIdlLi0ELi0ELi1EEELi4ELi4ELb0ELb0EEclERKS3_P,160,11,64,2.5
multi_object_tracker,uncertainty_processor,_ZN5Eigen8internal11gebp_kernelIddlNS0_16blas_data_mapperIdlLi0ELi0ELi1EEELi4ELi4ELb0ELb0EEclERKS3_P,160,26,304,0.5263157894736842
multi_object_tracker,unknown_tracker,_ZN5Eigen8internal11gebp_kernelIddlNS0_16blas_data_mapperIdlLi0ELi0ELi1EEELi4ELi4ELb0ELb0EEclERKS3_P,160,11,64,2.5
multi_object_tracker,unknown_tracker,_ZN5Eigen8internal11gebp_kernelIddlNS0_16blas_data_mapperIdlLi0ELi0ELi1EEELi4ELi4ELb0ELb0EEclERKS3_P,160,26,304,0.5263157894736842
autonomous_emergency_braking,node,_ZN5boost8geometry8strategy4side16side_by_triangleIvE18compute_side_valueIddLb0EE5applyIN23autoware_,146,15,216,0.6759259259259259
map_based_prediction,predictor_vru,_ZN5boost8geometry8strategy12intersection18cartesian_segmentsIvE7unifiedINS0_13segment_ratioIdEENS4_,146,18,404,0.3613861386138614
map_based_prediction,predictor_vru,_ZN5boost8geometry8strategy4side16side_by_triangleIvE18compute_side_valueIddLb0EE5applyIN5Eigen6Matr,146,15,216,0.6759259259259259
map_based_prediction,predictor_vru,_ZN5boost8geometry8strategy4side16side_by_triangleIvE18compute_side_valueIddLb0EE5applyINS0_5model2d,146,15,216,0.6759259259259259
map_based_prediction,predictor_vru,_ZN5boost8geometry8strategy4side16side_by_triangleIvE18compute_side_valueIddLb0EE5applyIN5Eigen6Matr,146,15,216,0.6759259259259259
map_based_prediction,predictor_vru,_ZN5boost8geometry8strategy4side16side_by_triangleIvE18compute_side_valueIddLb0EE5applyINS0_5model2d,146,15,216,0.6759259259259259
map_based_prediction,predictor_vru,_ZN5boost8geometry8strategy4side16side_by_triangleIvE18compute_side_valueIddLb0EE5applyIN5Eigen6Matr,146,15,216,0.6759259259259259
map_based_prediction,predictor_vru,_ZN5boost8geometry8strategy12intersection18cartesian_segmentsIvE7unifiedINS0_13segment_ratioIdEENS4_,146,18,404,0.3613861386138614
map_based_prediction,utils,_ZN5boost8geometry8strategy4side16side_by_triangleIvE18compute_side_valueIddLb0EE5applyIN5Eigen6Matr,146,15,216,0.6759259259259259
multi_object_tracker,shapes,_ZN5boost8geometry8strategy4side16side_by_triangleIvE18compute_side_valueIddLb0EE5applyIN23autoware_,146,15,216,0.6759259259259259
multi_object_tracker,cv_motion_model,_ZN8autoware20multi_object_tracker20KalmanFilterTemplateILi4ELi2ELi0EdE6updateILi2EEEbRKN5Eigen6Matr,143,0,240,0.5958333333333333
shape_estimation,utils,_ZN8autoware16shape_estimation15corrector_utils32correctWithReferenceShapeAndPoseERKNS0_22ReferenceS,143,1,432,0.33101851851851855
velocity_smoother,velocity_planning_utils,_ZN8autoware17velocity_smoother34analytical_velocity_planning_utils37calcStopDistWithJerkAndAccConst,137,57,1872,0.07318376068376069
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal26call_dense_assignment_loopINS_6MatrixIdLi5ELi5ELi0ELi5ELi5EEENS_7ProductINS4_INS,135,0,824,0.1638349514563107
