node,files,functions,fp_functions,total_flops,total_int_ops,total_mem_bytes,load_bytes,store_bytes,arithmetic_intensity
autonomous_emergency_braking,2,1699,104,1603,8908,307565,213096,94469,0.005211906426283875
behavior_path_planner,3,4335,41,50,22179,803623,563258,240365,6.221822919453525e-05
ekf_localizer,8,1082,88,1359,7116,217183,147873,69310,0.006257395836690717
euclidean_cluster,5,1133,14,20,5453,192632,133619,59013,0.00010382490967232858
lidar_centerpoint,1,1,0,0,2,0,0,0,0.0
map_based_prediction,5,1604,225,4724,8835,301549,211927,89622,0.01566577902762072
mission_planner,3,1249,9,9,5591,212296,148174,64122,4.239363906997777e-05
multi_object_tracker,25,2386,467,12457,16540,466150,321100,145050,0.026723157781829883
ndt_scan_matcher,5,1443,69,1070,7681,272967,188220,84747,0.003919887751999326
occupancy_grid_map_node,1,15,14,133,34,954,708,246,0.13941299790356393
pointcloud_concatenate_data,2,443,77,247,1953,63425,43777,19648,0.0038943634213638154
shape_estimation,16,680,46,1362,3406,112291,76614,35677,0.012129200024935213
trajectory_follower_controller,2,1823,26,44,8529,313106,220799,92307,0.00014052748909315057
velocity_smoother,9,1431,80,1332,8342,284254,199780,84474,0.004685949889887213
